"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.57","51.18","BANFF","3050520","1887-01","1887","01","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-02","1887","02","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-03","1887","03","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-04","1887","04","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-05","1887","05","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-06","1887","06","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-07","1887","07","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-08","1887","08","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-09","1887","09","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-10","1887","10","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-11","1887","11","","","","","","","","","","","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1887-12","1887","12","","","","","","","","","","","12.2","","22.9","","35.1","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-01","1888","01","-11.9","","-24.0","","-18.0","","8.9","S","-43.9","","0.0","","19.1","","19.1","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-02","1888","02","2.1","","-10.1","","-4.0","","8.9","","-28.3","","0.0","T","26.2","","26.2","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-03","1888","03","-0.6","","-15.3","","-8.0","","8.9","S","-35.6","","4.3","","21.1","","25.4","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-04","1888","04","9.2","","-4.9","","2.2","","20.0","","-15.6","","4.6","","8.1","","12.7","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-05","1888","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-06","1888","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-07","1888","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-08","1888","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-09","1888","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-10","1888","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-11","1888","11","","M","","M","","M","","M","-27.8","","5.1","","22.9","","27.9","","","","","","",""
"-115.57","51.18","BANFF","3050520","1888-12","1888","12","-1.9","","-12.7","","-7.3","","7.2","S","-30.0","","3.0","","38.9","","41.9","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-01","1889","01","-5.4","","-17.3","","-11.4","","7.8","","-32.2","","0.0","","29.2","","29.2","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-02","1889","02","-2.0","","-14.8","","-8.4","","8.9","","-32.8","","0.0","T","10.2","","10.2","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-03","1889","03","6.9","","-6.7","","0.1","","13.3","S","-20.6","","1.5","","5.8","","7.4","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-04","1889","04","13.2","","-3.1","","5.1","","21.1","","-8.9","","19.6","","7.6","","27.2","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-05","1889","05","16.7","","-1.4","","7.7","","25.0","","-8.3","","54.4","","14.0","","68.3","","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-06","1889","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-07","1889","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-08","1889","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-09","1889","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-115.57","51.18","BANFF","3050520","1889-10","1889","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
